PATH,SOURCE,ROOT,STATIONS
p104,e13,e1,"s11,s10,s9,s8,s7,s6,s5,s4,s3,s2,s1"
p105,e13,e2,"s11,s10,s9,s8,s7,s6,s5,s4,s3"
p106,e13,e3,"s11,s10,s9,s8,s7,s6,s5,s4,s3"
p107,e13,e4,"s11,s10,s9,s8,s7,s6,s5,s4"
p108,e13,e5,"s11,s10,s9,s8,s7,s6,s5,s4"
p109,e13,e6,"s11,s10,s9,s8,s7,s6,s5"
p110,e13,e7,"s11,s10,s9,s8,s7,s6,s5"
p111,e13,e8,"s11,s10,s9,s8,s7"
p112,e13,e9,"s11,s10,s9,s8"
p113,e13,e10,"s11,s10,s9"
p114,e13,e11,"s11,s10,s9"
